store_id,store_name,address,postal_code,city,account,district,region,lat,lng,category,annual_sales_usd,lines_per_store,fsm,sr,rating,review_count,price_level,place_id,phone,opening_hours,website,enrichment_attempted
RBA2006283,ศรีราชามาร์ทวังหิน,26/309 ม.1 ต.สุรศักดิ์ อ.ศรีราชา,20110,Chon Buri,Minimart,,East,12.66391833,101.2430917,Minimart,"38,552.16",5.75,,RBAC02,,,,,,,,
RBA2006324,ร้านสหกรณ์กองบัญชาการช่วยรบที่1 จำกัด,480 หมู่ 1 ต.เกาะจันทร์ อ.เกาะจันทร์,20240,Chon Buri,Minimart,,East,13.001465,101.0762617,Minimart,"7,555.27",5.33,,RBAC02,,,,,,,,
RBA2006338,บริษัท ซีโน คอนดอม จำกัด (สำนักงานใหญ่),34/176 ม.2 ต.หนองปรือ อ.บางละมุง,20150,Chon Buri,B2B,,East,12.70867833,101.170965,B2B,"534,087.72",3.17,,RBAC02,,,,,,,,
RBA2006340,โลมามินิมาร์ท,207/356 ม.11 ต.หนองขาม อ.ศรีราชา,20230,Chon Buri,Minimart,,East,12.7087155,101.1710227,Minimart,"20,157.62",0.33,,RBAC02,,,,,,,,
RBA2006343,บริษัท มีดี ศรีราชา จำกัด (สำนักงานใหญ่),"45,47,67/2-5 ถ.สุรศักดิ์1 ต.ศรีราชา อ.ศรีราชา",20110,Chon Buri,Minimart,,East,13.16094833,100.9317167,Minimart,"25,034.92",7.83,,RBAC02,,,,,,,,
RBA2006347,บริษัท นิธิ ออล จำกัด (สำนักงานใหญ่),9 ถ.สุรศักดิ์1 ต.ศรีราชา อ.ศรีราชา,20110,Chon Buri,SUPERMARKET,,East,13.16104667,100.93132,SUPERMARKET,"1,972.80",0.25,,RBAC02,,,,,,,,
RBA2006348,มิตรอารีย์ เทรดเดอร์,125/48 ม.3 ต.บ่อวิน อ.ศรีราชา,20230,Chon Buri,SUPERMARKET,,East,12.70864667,101.17102,SUPERMARKET,"38,407.86",1,,RBAC02,,,,,,,,
RBA2006350,พัทยา บิวตี้ (สำนักงานใหญ่),32/17-18 ม.10 ถ.พัทยาใต้ ต.หนองปรือ อ.บางละมุง,20260,Chon Buri,Minimart,,East,12.90677833,100.89696,Minimart,"227,279.76",9.67,,RBAC02,,,,,,,,
RBA2006353,บริษัท สี่แยกเซนเตอร์ จำกัด,18/1 ม.8 ต.มาบโป่ง อ.พานทอง,20160,Chon Buri,SEMI WHOLESALE,,East,13.00131833,101.07625,SEMI WHOLESALE,"32,144.76",4.58,,RBAC02,,,,,,,,
RBA2006355,บริษัท ศรีธิคำ มาร์เก็ตติ้ง จำกัด,226/90 ม.4 ต.นาจอมเทียน อ.สัตหีบ,20250,Chon Buri,SEMI WHOLESALE,,East,13.98980167,101.7177167,SEMI WHOLESALE,"22,224.12",3.25,,RBAC01,,,,,,,,
RBA2006356,บริษัท ศรีธิคำ มาร์เก็ตติ้ง จำกัด,57/5 ม.6 ต.หนองปลาไหล อ.บางละมุง,20150,Chon Buri,SEMI WHOLESALE,,East,12.965165,100.9188533,SEMI WHOLESALE,"56,758.44",7.92,,RBAC01,,,,,,,,
RBA2004690,บริษัทสรรพสินค้าชลบุรี จำกัด,117/21 หมู่ 15 ต.บางเสาธง อ.บางเสาธง จ.สมุทรปราการ ,10570,Chon Buri,SEMI WHOLESALE,,East,13.21326167,100.9437067,SEMI WHOLESALE,"27,964.44", -   ,,RBAC02,,,,,,,,
RBA2004692,ร้านแบล็ค แอนด์ บราวน์,115 ม.2 ต.บางพระ อ.ศรีราชา จ.ชลบุรี ,20110,Chon Buri,OTHERS (VAN),,East,13.146438,100.9550416,OTHERS (VAN),"348,384.00", -   ,,RBAC02,,,,,,,,
RBA2004693,ร้านชายน้อย1,217/18 หมู่ 10 ซอย8 ถนนชายหาด ต.หนองปรือ อ.บางละมุง จ.ชลบุรี ,20150,Chon Buri,MOM AND POP LARGE,,East,13.374928,101.0119683,MOM AND POP LARGE,"40,475.52", -   ,,RBAC02,,,,,,,,
RBA2004716,ร้านใช้ฮั้วเฮง,117 ต.คลองกิ่ว อ.บ้านบึง จ.ชลบุรี ,20220,Chon Buri,MINIMART,,East,13.250152,101.155341,MINIMART,"103,572.00", -   ,,RBAC02,,,,,,,,
