city,place_id,name,name_norm,address,lat,lng,types,banner,format,reckitt_target
"RECIFE, PE",,Salvatory Company,salvatorypany,"Avenida Presidente Kennedy, 1040 - A1 - Peixinhos, Olinda",-8.0177316,-34.8642322,"convenience_store,electronics_store,clothing_store,store,food,point_of_interest,establishment",Independente / Sem chain identificado,Conveniência,TARGET
"RECIFE, PE",,Uci,uci,"Shopping Tacaruna, Avenida Governador Agamenon Magalhães, 153 - Santo Amaro, Recife",-8.037868,-34.87184200000001,"movie_theater,point_of_interest,establishment",Independente / Sem chain identificado,Outros,REVIEW
"RECIFE, PE",,Health Unit Family,health unit family,"Rua Isabel Burgos Vieira Ferreira, 147 - Salgadinho, Olinda",-8.0246177,-34.86992179999999,"insurance_agency,point_of_interest,health,establishment",Independente / Sem chain identificado,Outros,REVIEW
"RECIFE, PE",,Department of Finance and Administration,department of finance and administration,"Rua Felipe Camarão, 177 - Umuarama, Olinda",-8.021364700000001,-34.85331069999999,"local_government_office,point_of_interest,establishment",Independente / Sem chain identificado,Órgão Público,EXCLUDE
"RECIFE, PE",,Olinda,olinda,Olinda,-7.9920228,-34.8422297,"locality,political",Independente / Sem chain identificado,Outros,REVIEW
"RECIFE, PE",,Blog Conectividade Escrita,blog conectividade escrita,"Rua Jerônimo Viléla, 183 - Campo Grande, Recife",-8.030594200000001,-34.8817929,"point_of_interest,establishment",Independente / Sem chain identificado,Outros,REVIEW
"RECIFE, PE",,Gomes & Sá Locações,gomes & sa locacoes,"Rua Waldemar de Lima, 367 - Salgadinho, Olinda",-8.0280943,-34.8670413,"home_goods_store,store,point_of_interest,establishment",Independente / Sem chain identificado,Casa & Decoração,EXCLUDE
"RECIFE, PE",,Europa Câmbio e Turismo Shopping Tacaruna,europa cambio e turismo shopping tacaruna,"Shopping Tacaruna - Av. Governador Agamenon Magalhães, 153 Loja Nª 238 - Santo Amaro, Recife",-8.037912,-34.871993,"travel_agency,finance,point_of_interest,establishment",Independente / Sem chain identificado,Agência de Viagens,EXCLUDE
"RECIFE, PE",,Hotel Colonial Olinda,hotel colonial olinda,"Avenida Presidente Kennedy, 187 - Varadouro, Olinda",-8.0197757,-34.8574049,"lodging,point_of_interest,establishment",Independente / Sem chain identificado,Hotel,EXCLUDE
"RECIFE, PE",,Apartamento Centro de Convenções,apartamento centro de convencoes,"Rua Professor João Fernandes Soares, 205 - Salgadinho, Olinda",-8.0302434,-34.8727572,"lodging,point_of_interest,establishment",Independente / Sem chain identificado,Hotel,EXCLUDE
"RECIFE, PE",,Paróquia Sagrado Coração de Jesus - Salgadinho,paroquia sagrado coracao de jesus - salgadinho,"Avenida Professor Andrade Bezerra, 998 - Salgadinho, Olinda",-8.029913999999998,-34.8698284,"church,place_of_worship,point_of_interest,establishment",Independente / Sem chain identificado,Igreja,EXCLUDE
"RECIFE, PE",,Tacaruna Impressão Digital,tacaruna impressao digital,"Avenida Professor Andrade Bezerra, 1395 - Salgadinho, Olinda",-8.0316545,-34.8743247,"point_of_interest,establishment",Independente / Sem chain identificado,Outros,REVIEW
